algorithm_name,run_n,estate_n,solution_found
simulatedAnnealing,10,100,False
simulatedAnnealing,10,4,True
simulatedAnnealing,10,100,False
simulatedAnnealing,10,100,False
simulatedAnnealing,10,100,False
simulatedAnnealing,10,100,False
simulatedAnnealing,10,100,False
simulatedAnnealing,10,100,False
simulatedAnnealing,10,100,False
simulatedAnnealing,10,40,True
simulatedAnnealing,10,100,False
simulatedAnnealing,10,100,False
simulatedAnnealing,10,100,False
simulatedAnnealing,10,100,False
simulatedAnnealing,10,100,False
simulatedAnnealing,10,100,False
simulatedAnnealing,10,100,False
simulatedAnnealing,10,100,False
simulatedAnnealing,10,100,False
simulatedAnnealing,10,100,False
simulatedAnnealing,10,100,False
simulatedAnnealing,10,100,False
simulatedAnnealing,10,100,False
simulatedAnnealing,10,9,True
simulatedAnnealing,10,100,False
geneticAlgorithm,10,0,True
geneticAlgorithm,10,0,True
geneticAlgorithm,10,0,True
geneticAlgorithm,10,0,True
geneticAlgorithm,10,0,True
geneticAlgorithm,10,0,True
geneticAlgorithm,10,0,True
geneticAlgorithm,10,1,True
geneticAlgorithm,10,0,True
geneticAlgorithm,10,1,True
geneticAlgorithm,10,0,True
geneticAlgorithm,10,1,True
geneticAlgorithm,10,0,True
geneticAlgorithm,10,1,True
geneticAlgorithm,10,1,True
geneticAlgorithm,10,1,True
geneticAlgorithm,10,0,True
geneticAlgorithm,10,3,True
geneticAlgorithm,10,0,True
geneticAlgorithm,10,0,True
geneticAlgorithm,10,1,True
geneticAlgorithm,10,0,True
geneticAlgorithm,10,0,True
geneticAlgorithm,10,0,True
geneticAlgorithm,10,0,True
geneticAlgorithm,10,0,True
geneticAlgorithm,10,0,True
geneticAlgorithm,10,1,True
geneticAlgorithm,10,1,True
geneticAlgorithm,10,0,True
